Drug Name,Molecular Weight (g/mol),pKa,LogP,Aqueous Solubility (mg/mL),Oral Bioavailability (%),H-Bond Donors,H-Bond Acceptors
Lamotrigine,256.1,5.7,~2.3,Practically insoluble,~98%,2,4
Lansoprazole,369.37,4,~2.0,Low,80–90%,1,5
Latanoprost,432.58,4.88,3.98–4.1,0.0129 mg/mL,Not applicable (topical),3,4
Leniolisib,417.47,7.5,~3.0,Data not available,Data not available,1,6
Lenvatinib,426.85,4,~3.4,Low,~85%,1,7
Lesinurad,404.28,3.5,~2.5,Low,~100%,1,5
Letermovir,534.55,4.5,~3.5,Low,~35%,1,7
Loperamide,477.02,8.6,4.44–4.77,0.00086 mg/mL,<1%,1,3
Lopinavir,628.79,4,~4.7,Very low,~25% (with ritonavir),3,7
Loracarbef,392.4,3,~0.5,High,~90%,2,6
Loratadine,382.87,4.33,4.55–4.8,0.013 g/L,~40%,0,2
Lornoxicam,371.83,4.5,~1.7,Low,~105%,2,6
Lovastatin,404.53,4,~4.3,Very low,~5%,1,5
Macitentan,588.28,4.5,~3.5,Low,~74%,1,6
Maribavir,308.78,3.5,~2.5,Low,~30%,1,5
Mebendazole,295.29,4,~3.5,Very low,~20%,1,5
Meclizine,390.94,8,~3.0,Low,~90%,1,3
Meloxicam,351.41,4.1,~3.4,Very low,~89%,1,5
Montelukast Sodium,608.15,4,~8.0,Very low,~64%,1,6
Nateglinide,317.42,3.3,~3.0,Low,~73%,1,5
Nelfinavir Mesylate,663.89,4,~5.0,Very low,~20–80%,2,6
Nevirapine,266.3,2.8,~2.5,Low,~93%,1,5
Nicardipine,479.52,9.3,~3.5,Low,~35%,1,6
Nifedipine,346.33,,~2.2,Low,~45–56%,1,6
Nitrofurantoin,238.17,,~0.1,High,~90%,2,6
Obeticholic Acid,420.61,,~4.5,Very low,~35%,1,4
Olanzapine,312.44,,~2.5,Low,~60%,1,4
Omeprazole,345.42,,~2.2,Low,~30–40%,1,5
Oxcarbazepine,252.27,,~2.1,Low,~89%,1,4
Ozanimod,431.45,,~2.3,Low,~60%,1,5
Palbociclib Isethionate,603.67,,~3.0,Low,~46%,2,7
Paliperidone Palmitate,664.89,,~2.8,Low,~28%,2,5
Pemigatinib,568.61,,,,,,
Phenytoin Sodium,274.25,8.3,2.5,20,70,2,4
Posaconazole,700.79,3.6,5,0.001,~50,3,9
Pralsetinib,488.59,5.1,3.2,0.01,~60,1,6
Racecadotril,385.47,4.5,2.1,0.02,~30,1,5
Raloxifene,473.58,8.8,5.5,0.0005,2,2,5
Raltegravir,444.43,6.6,1.3,0.1,40,3,7
Rebamipide,370.78,4,1.9,0.03,~10,2,5
Rifabutin,847,7.9,4.3,0.002,20,3,10
Rifampicin,822.93,7.9,3.7,0.01,90–95,5,12
Risperidone,410.49,8.2,3,0.03,70,1,5
Rosuvastatin,481.54,4.6,2,0.001,20,3,6
Sertraline Hydrochloride,342.68,9.5,5.1,0.01,44,1,2
Sildenafil,474.59,8.7,2.6,0.005,40,1,6
Spironolactone,416.57,10.2,2.8,0.002,60–90,0,4
Tamoxifen Citrate,563.62,8.8,6.3,0.0009,20,1,3
